threshold,pct_flagged,error_rate_in_flagged,error_rate_in_unflagged,fraction_of_all_errors_caught
0.55,0.032,0.4375,0.2727272727272727,0.050359712230215826
0.6,0.08,0.4,0.2673913043478261,0.11510791366906475
0.65,0.118,0.3220338983050847,0.272108843537415,0.1366906474820144
0.7,0.164,0.36585365853658536,0.2607655502392344,0.2158273381294964
0.75,0.228,0.39473684210526316,0.24352331606217617,0.3237410071942446
0.8,0.3,0.4,0.2257142857142857,0.4316546762589928
0.85,0.364,0.35714285714285715,0.23270440251572327,0.4676258992805755
0.9,0.458,0.37117903930131,0.1992619926199262,0.6115107913669064
